team, year, class, status, gender
Northwood, 1975, Combined, Champion, Girls
Bel Air, 1975, Combined, Finalist, Girls
B-CC, 1976, AA, Champion, Girls
Friendly, 1976, AA, Finalist, Girls
Seneca Valley, 1976, ABC, Champion, Girls
Northwood, 1976, ABC, Finalist, Girls
Northwood, 1977, AA, Champion, Girls
Churchill, 1977, AA, Finalist, Girls
B-CC, 1977, ABC, Champion, Girls
Oxon Hill, 1977, ABC, Finalist, Girls
Northwood, 1978, AA, Champion, Girls
Churchill, 1978, AA, Finalist, Girls
B-CC, 1978, A, Champion, Girls
Eleanor Roosevelt, 1978, A, Finalist, Girls
Hereford, 1978, B, Champion, Girls
Williamsport, 1978, B, Finalist, Girls
Smithsburg, 1978, C, Champion, Girls
Boonsboro, 1978, C, Finalist, Girls
Churchill, 1979, AA, Champion, Girls
Blair, 1979, AA, Finalist, Girls
Seneca Valley, 1979, A, Champion, Girls
B-CC, 1979, A, Finalist, Girls
Hereford, 1979, B, Champion, Girls
Sherwood, 1979, B, Finalist, Girls
Williamsport, 1979, C, Champion, Girls
Smithsburg, 1979, C, Finalist, Girls
Towson, 1980, AA, Champion, Girls
Churchill, 1980, AA, Finalist, Girls
Seneca Valley, 1980, A, Champion, Girls
Rockville, 1980, A, Finalist, Girls
Hereford, 1980, B, Champion, Girls
Frederick, 1980, B, Finalist, Girls
Williamsport, 1980, C, Champion, Girls
Middletown, 1980, C, Finalist, Girls
Dulaney, 1981, AA, Champion, Girls
Crossland, 1981, AA, Finalist, Girls
McDonough, 1981, A, Champion, Girls
Towson, 1981, A, Finalist, Girls
Williamsport, 1981, B, Champion, Girls
Frederick, 1981, B, Finalist, Girls
Middletown, 1981, C, Champion, Girls
Boonsboro, 1981, C, Finalist, Girls
Crossland, 1982, AA, Champion, Girls
Dulaney, 1982, AA, Finalist, Girls
Towson, 1982, A, Champion, Girls
Loch Raven, 1982, A, Finalist, Girls
Williamsport, 1982, B, Champion, Girls
North Carroll, 1982, B, Finalist, Girls
Brunswick, 1982, C, Champion, Girls
Walkersville, 1982, C, Finalist, Girls
Crossland, 1983, AA, Champion, Girls
Westminster, 1983, AA, Finalist, Girls
Kennedy, 1983, A, Champion, Girls
Loch Raven, 1983, A, Finalist, Girls
North Carroll, 1983, B, Champion, Girls
Glenelg, 1983, B, Finalist, Girls
Brunswick, 1983, C, Champion, Girls
Walkersville, 1983, C, Finalist, Girls
Westminster, 1984, AA, Champion, Girls
