team,year,class,status,gender,Sport
Aberdeen,2003,2AE,CH,Boys,Football
Aberdeen,2011,3AN,SF,Boys,Football
Aberdeen,1986,2A,QF,Boys,Football
Aberdeen,1989,2A,QF,Boys,Football
Aberdeen,1991,3A,QF,Boys,Football
Aberdeen,1994,2A,QF,Boys,Football
Aberdeen,1996,2A,QF,Boys,Football
Aberdeen,1997,3A,QF,Boys,Football
Aberdeen,2004,2AE,RR,Boys,Football
Aberdeen,2013,3AN,RS,Boys,Football
Aberdeen,2014,3AN,RS,Boys,Football
Aberdeen,2015,3AN,RS,Boys,Football
Aberdeen,2021,3AN,RR1,Boys,Football
Aberdeen,2022,3AN,RR1,Boys,Football
Aberdeen,2023,3AN,RR1,Boys,Football
Alleghany,1992,2A,RR,Boys,Football
Alleghany,1993,2A,QF,Boys,Football
Alleghany,1998,2A,RR,Boys,Football
Alleghany,2000,2AE,SF,Boys,Football
Alleghany,2002,2AE,SF,Boys,Football
Alleghany,2004,2AE,QF,Boys,Football
Alleghany,2005,2AE,SF,Boys,Football
Alleghany,2012,3AN,RS,Boys,Football
Alleghany,2016,3AN,RS,Boys,Football
Alleghany,2018,3AN,RS,Boys,Football
Alleghany,2019,3AN,RR1,Boys,Football
Alleghany,2020,3AN,RR1,Boys,Football
Alleghany,2021,3AN,RR1,Boys,Football
Andover,1985,2A,QF,Boys,Football
Andover,1986,2A,RR,Boys,Football
Andover,1995,3A,SF,Boys,Football
Andover,1997,3A,CH,Boys,Football
Andover,1998,3A,CH,Boys,Football
Andover,2000,2A,RS,Boys,Football
Andover,2003,2AE,RS,Boys,Football
Andover,2004,2AE,RS,Boys,Football
Andover,2007,2AE,SF,Boys,Football
Andover,2015,3AN,RS,Boys,Football
Andover,2016,3AN,RR1,Boys,Football
Andover,2017,3AN,RR1,Boys,Football
Andover,2021,3AN,RS,Boys,Football
,,,,Boys,Football
Arundel,1975,AA,CH,Boys,Football
Arundel,1979,A,RU,Boys,Football
Arundel,2007,4AE,RU,Boys,Football
Arundel,2022,4A/3AE,RU,Boys,Football
Arundel,1976,AA,SF,Boys,Football
Arundel,1978,A,SF,Boys,Football
Arundel,1983,AA,SF,Boys,Football
Arundel,2008,4AE,SF,Boys,Football
Arundel,2021,4A/3AE,SF,Boys,Football
Arundel,1985,AA,QF,Boys,Football
Arundel,1994,4A,QF,Boys,Football
Arundel,1995,4A,QF,Boys,Football
Arundel,2019,4AE,QF,Boys,Football
Arundel,2005,4AE,RR,Boys,Football
Arundel,2009,4AE,RR,Boys,Football
Arundel,2010,4AE,RR,Boys,Football
Arundel,2013,4AE,RR,Boys,Football
Arundel,2014,4AE,RR,Boys,Football
Arundel,2003,4AE,RS,Boys,Football
Arundel,2004,4AE,RS,Boys,Football
Arundel,2006,4AE,RS,Boys,Football
Arundel,2011,4AE,RS,Boys,Football
Arundel,2012,4AE,RS,Boys,Football
Arundel,2017,4AE,RS,Boys,Football
Arundel,2018,4AE,RS,Boys,Football
Arundel,2023,3AS,RR2,Boys,Football
Atholton,1985,B,QF,Boys,Football
Atholton,2021,3AS,QF,Boys,Football
Atholton,2022,3AS,QF,Boys,Football
