team,year,class,status,gender
Aberdeen,2003,2AE,CH,Boys
Aberdeen,2011,3AN,SF,Boys
Aberdeen,1986,2A,QF,Boys
Aberdeen,1989,2A,QF,Boys
Aberdeen,1991,3A,QF,Boys
Aberdeen,1994,2A,QF,Boys
Aberdeen,1996,2A,QF,Boys
Aberdeen,1997,3A,QF,Boys
Aberdeen,2004,2AE,RR,Boys
Aberdeen,2013,3AN,RS,Boys
Aberdeen,2014,3AN,RS,Boys
Aberdeen,2015,3AN,RS,Boys
Aberdeen,2021,3AN,RR1,Boys
Aberdeen,2022,3AN,RR1,Boys
Aberdeen,2023,3AN,RR1,Boys
Alleghany,1992,2A,RR,Boys
Alleghany,1993,2A,QF,Boys
Alleghany,1998,2A,RR,Boys
Alleghany,2000,2AE,SF,Boys
Alleghany,2002,2AE,SF,Boys
Alleghany,2004,2AE,QF,Boys
Alleghany,2005,2AE,SF,Boys
Alleghany,2012,3AN,RS,Boys
Alleghany,2016,3AN,RS,Boys
Alleghany,2018,3AN,RS,Boys
Alleghany,2019,3AN,RR1,Boys
Alleghany,2020,3AN,RR1,Boys
Alleghany,2021,3AN,RR1,Boys
Andover,1985,2A,QF,Boys
Andover,1986,2A,RR,Boys
Andover,1995,3A,SF,Boys
Andover,1997,3A,CH,Boys
Andover,1998,3A,CH,Boys
Andover,2000,2A,RS,Boys
Andover,2003,2AE,RS,Boys
Andover,2004,2AE,RS,Boys
Andover,2007,2AE,SF,Boys
Andover,2015,3AN,RS,Boys
Andover,2016,3AN,RR1,Boys
Andover,2017,3AN,RR1,Boys
Andover,2021,3AN,RS,Boys
,,,,Boys
Arundel,1975,AA,CH,Boys
Arundel,1979,A,RU,Boys
Arundel,2007,4AE,RU,Boys
Arundel,2022,4A/3AE,RU,Boys
Arundel,1976,AA,SF,Boys
Arundel,1978,A,SF,Boys
Arundel,1983,AA,SF,Boys
Arundel,2008,4AE,SF,Boys
Arundel,2021,4A/3AE,SF,Boys
Arundel,1985,AA,QF,Boys
Arundel,1994,4A,QF,Boys
Arundel,1995,4A,QF,Boys
Arundel,2019,4AE,QF,Boys
Arundel,2005,4AE,RR,Boys
Arundel,2009,4AE,RR,Boys
Arundel,2010,4AE,RR,Boys
Arundel,2013,4AE,RR,Boys
Arundel,2014,4AE,RR,Boys
Arundel,2003,4AE,RS,Boys
Arundel,2004,4AE,RS,Boys
Arundel,2006,4AE,RS,Boys
Arundel,2011,4AE,RS,Boys
Arundel,2012,4AE,RS,Boys
Arundel,2017,4AE,RS,Boys
Arundel,2018,4AE,RS,Boys
Arundel,2023,3AS,RR2,Boys
Atholton,1985,B,QF,Boys
Atholton,2021,3AS,QF,Boys
Atholton,2022,3AS,QF,Boys
Atholton,2005,2AS,RR,Boys
Atholton,2009,3AE,RR,Boys
Atholton,2011,3AE,RR,Boys
Atholton,2012,3AE,RR,Boys
