year,sport,teams,individuals,schools
1971,Golf,10,72,32
1972,Golf,13,95,47
1973,Golf,12,95,47
1974,Golf,14,102,48
1975,Golf,12,91,44
1976,Golf,13,105,49
1977,Golf,17,122,60
1978,Golf,17,122,60
1979,Golf,16,120,62
1980,Golf,17,122,60
1981,Golf,16,117,60
1982,Golf,19,123,60
1983,Golf,18,128,57
1984,Golf,18,141,65
1985,Golf,18,123,57
1986,Golf,17,136,57
1987,Golf,17,143,57
1988,Golf,19,130,62
1989,Golf,19,130,62
1990,Golf,18,15,69
1991,Golf,17,126,66
1992,Golf,17,129,53
1993,Golf,18,141,56
1994,Golf,19,133,59
1995,Golf,20,165,69
1996,Golf,15,129,60
1997,Golf,21,146,64
1998,Golf,23,157,69
1999,Golf,19,164,71
2000,Golf,16,159,69
2001,Golf,17,140,64
2002,Golf,17,168,76
2003,Golf,16,147,75
2004,Golf,18,157,69
2005,Golf,17,159,70
2006,Golf,20,172,75
2007,Golf,21,184,82
2008,Golf,18,187,85
2009,Golf,18,120,56
2010,Golf,13,149,74
2011,Golf,27,199,75
2012,Golf,30,198,73
2013,Golf,30,179,81
2014,Golf,29,190,73
2015,Golf,24,174,68
2016,Golf,22,151,68
2017,Golf,26,164,63
2018,Golf,26,162,59
2019,Golf,29,169,60
2020,Golf,0,0,0
2021,Golf,30,187,75
2022,Golf,32,193,70
2023,Golf,31,226,80
