year,sport,gender,class,champion,coach ,finalist,opponent_coach ,team_score,opponent_score,notes
1946,Field Ball,Girls,A ,Kenwood,,Frederick,,10,1,
1946,Field Ball,Girls,B ,Westminister ,Miss DuVall,,,,,
1946,Field Ball,Girls,C ,Easton,Mae Brooks ,Boonsboro,,8,6,
1946,Field Ball,Girls,D,Federalsburg,,Middletown,,2,0,
1947,Field Ball,Girls,A ,Frederick,,Annapolis,,4,2,
1947,Field Ball,Girls,B ,Westminister ,Miss DuVall ,Bel Air,,,,
1947,Field Ball,Girls,C,Centreville,,Middletown,,3,1,
1947,Field Ball,Girls,D ,New Windsor,Virginia Saunders?,Pittsville,,3,1,
1948,Field Ball,Girls,A,Frederick,,Annapolis,,5,2,
1948,Field Ball,Girls,B ,Westminister,Mrs. Sellman ,Cambridge,,2,0,
1948,Field Ball,Girls,C ,Easton,,Boonsboro,,7,3,
1948,Field Ball,Girls,D ,Friendsvillle-forfeit ,Wilbur Glenn ,Mardela ,Henrietta Jones,,,
1989,Soccer,Girls,4A-3A,Severna Park,Joyce Stefancik,,,4,0,
1989,Soccer,Girls,2A-1A,Hammond,Dave Guetler,,,2,0,
1990,Soccer,Girls,4A-3A,Severna Park,Joyce Stefancik,,,2,1,
1990,Soccer,Girls,2A-1A,Middletown,John Miller,,,2,0,
1991,Soccer,Girls,4A-3A,Centennial,"Ricardo Pizarro, Jr.",,,4,1,
1991,Soccer,Girls,2A-1A,Hammond,Dave Guetler,,,3,1,
1992,Soccer,Girls,4A-3A,Centennial,"Ricardo Pizarro, Jr.",,,3 (OT),2,
1992,Soccer,Girls,2A-1A,Oakland Mills,Nancy Shea,,,1 (OT),0,
1993,Soccer,Girls,4A-3A,Dulaney,Kathy Schmidt,,,3,0,
1993,Soccer,Girls,2A-1A,Loch Raven,Louis Menegatti,,,2,0,
1994,Soccer,Girls,4A-3A,Centennial,Dave Greenberg,,,2,1,
1994,Soccer,Girls,2A-1A,Fallston,Nancy Ferguson,,,3,1,
1995,Soccer,Girls,4A-3A,Centennial,Dave Greenberg,Severna Park,Joyce Stefancik,0,0,
1995,Soccer,Girls,2A-1A,Oakland Mills,Steve Matters,,,2,0,
1996,Soccer,Girls,4A-3A,Fallston,Nancy Ferguson,,,2,0,
1997,Soccer,Girls,4A-3A,Thomas Johnson,Chuck Nichols,,,2,1,
1998,Soccer,Girls,4A,Thomas S. Wootton,Terri Reich,,,2,1,
1999,Soccer,Girls,4A,Westminster,Bryan Shumaker,,,3,1,
2000,Soccer,Girls,4A,Severna Park,Chuck Seivert,,,3,1,
2001,Soccer,Girls,4A,Thomas Johnson,Chuck Nichols,,,3,1,
2002,Soccer,Girls,4A,Quince Orchard,Peg Keiller,,,1,0,
1998,Soccer,Girls,3A,Leonardtown,Jennifer Henderson,,,2,1,
1999,Soccer,Girls,3A,River Hill,Joan Kelso Smedley,,,4,1,
2000,Soccer,Girls,3A,River Hill,Joan Kelso Smedley,,,1,0,
2001,Soccer,Girls,3A,River Hill,Joan Smedley,,,3,0,
2002,Soccer,Girls,3A,Severna Park,Gary Lam,,,2,1,
1998,Soccer,Girls,2A,Centennial,Mike Senisi,,,2,0,
1999,Soccer,Girls,2A,Loch Raven,Mike Parker,Middletown,John Miller,0,0,
2000,Soccer,Girls,2A,Hereford,Steve Power,Middletown,John Miller,1,1,
2001,Soccer,Girls,2A,B-CC,Robert Kurtz,Centennial,Mike Senisi,0,0,
2002,Soccer,Girls,2A,Century,Vanessa Ozimek,,,2,0,
1998,Soccer,Girls,1A,Hammond,Peter DiMarco,,,6,0,
1999,Soccer,Girls,1A,Loch Raven,Mike Williams,,,3,2,
2000,Soccer,Girls,1A,Glenelg,Mike Williams,,,1,0,
2001,Soccer,Girls,1A,Glenelg,Mike Williams,,,0,0,
2002,Soccer,Girls,1A,Poolesville,Scott Mathias,,,1,0,
2003,Soccer,Girls,4A,Eleanor Roosevelt,Kathy Lacey,,,1,0,
2003,Soccer,Girls,3A,Severna Park,Gary Lam,,,3,2,
2003,Soccer,Girls,2A,Century,Vanessa Ozimek,,,3,1,
2003,Soccer,Girls,1A,Loch Raven,Mike Parker,,,2,0,
2004,Soccer,Girls,4A,Walt Whitman,Tony Piyosh,,,2,1,OT
2004,Soccer,Girls,3A,Bethesda-CC,Robert Kurtz,,,1,0,
2004,Soccer,Girls,2A,Middletown,Heather Kline,,,1,0,
2004,Soccer,Girls,1A,Tuscarora,Mark Wolcott,,,5,1,
2005,Soccer,Girls,4A,C. Milton Wright,Paul Austin,,,1,0,
2005,Soccer,Girls,3A,Tuscarora,Mark Wolcott,,,2,0,
2005,Soccer,Girls,2A,Eastern Technical,Kim Williams,,,1,0,
2005,Soccer,Girls,1A,Smithsburg,Bill Fowkes,,,2,0,
2006,Soccer,Girls,4A,Leonardtown,Jennifer Henderson,,,1,0,
2006,Soccer,Girls,3A,River Hill,Brian Song,,,1,0,
2006,Soccer,Girls,2A,Glenelg,Dean Sheridan,,,2,1,
2006,Soccer,Girls,1A,Smithsburg,Bill Fowkes,,,4,1,
2007,Soccer,Girls,4A,Quince Orchard,Peg Keiller,,,1,0,PKs
2007,Soccer,Girls,3A,Urbana,Chuck Nichols,,,3,2,PKs
2007,Soccer,Girls,2A,River Hill,Brian Song,,,2,1,OT
2007,Soccer,Girls,1A,Glenelg,Dean Sheridan,,,2,1,
2008,Soccer,Girls,4A,Leonardtown,Jennifer Henderson,,,3,1,
2008,Soccer,Girls,3A,Bethesda-CC,Robert Kurtz,,,2,0,
2008,Soccer,Girls,2A,River Hill,Brian Song,,,4,3,PKs
2008,Soccer,Girls,1A,Glenelg,Dean Sheridan,,,1,0,PKs
2009,Soccer,Girls,4A,Bethesda-CC,Robert Kurtz,,,2,1,2 OTs
2009,Soccer,Girls,3A,Tuscarora,Mark Wolcott,,,3,2,
2009,Soccer,Girls,2A,Fallston,Alyson Cammann,,,2,1,PKs
2009,Soccer,Girls,1A,Loch Raven,Anthony Menegatti,,,1,0,
2010,Soccer,Girls,4A,Bethesda-CC,Robert Kurtz,,,2,1,
2010,Soccer,Girls,3A,Reservoir,Joshua Sullivan,,,1,0,
2010,Soccer,Girls,2A,Middletown,Heather Kline,,,2,1,
2010,Soccer,Girls,1A,Oakdale,Mitch Rubin,,,2,1,PKs
2011,Soccer,Girls,4A,Bethesda-CC,Robert Kurtz,,,1,0,PKs
2011,Soccer,Girls,3A,Huntingtown,Jill Twetten,,,1,0,
2011,Soccer,Girls,2A,Middletown,Heather Kline,,,1,0,
2011,Soccer,Girls,1A,Manchester Valley,Joe Miller,,,4,1,
2012,Soccer,Girls,4A,South River,John Sis,,,2,1,PKs
2012,Soccer,Girls,3A,River Hill,Brian Song,,,1,0,OT
2012,Soccer,Girls,2A,Middletown,Heather Kline,,,1,0,
2012,Soccer,Girls,1A,Manchester Valley,Joe Miller,,,3,1,
2013,Soccer,Girls,4A,Walt Whitman,Greg Herbert,,,2,0,
2013,Soccer,Girls,3A,River Hill,Brian Song,,,1,0,
