School,Year,Status,Gender,Sport,Season
Aberdeen,1982,Semifinalist,Female,Volleyball,Fall
Allegany,1997,Semifinalist,Female,Volleyball,Fall
Allegany,1998,Finalist,Female,Volleyball,Fall
Allegany,1999,Finalist,Female,Volleyball,Fall
Andover,1976,Semifinalist,Female,Volleyball,Fall
Andover,1977,Champion,Female,Volleyball,Fall
Arundel,2010,Semifinalist,Female,Volleyball,Fall
Arundel,2011,Finalist,Female,Volleyball,Fall
Arundel,2012,Finalist,Female,Volleyball,Fall
Arundel,2016,Semifinalist,Female,Volleyball,Fall
Arundel,2017,Finalist,Female,Volleyball,Fall
Arundel,2019,Champion,Female,Volleyball,Fall
Arundel,2021,Champion,Female,Volleyball,Fall
Arundel,2022,Finalist,Female,Volleyball,Fall
Arundel,2023,Finalist,Female,Volleyball,Fall
Atholton,1988,Champion,Female,Volleyball,Fall
Atholton,1989,Champion,Female,Volleyball,Fall
Atholton,1990,Semifinalist,Female,Volleyball,Fall
Atholton,1994,Finalist,Female,Volleyball,Fall
Atholton,1996,Finalist,Female,Volleyball,Fall
Atholton,2016,Champion,Female,Volleyball,Fall
Atholton,2017,Semifinalist,Female,Volleyball,Fall
Atholton,2018,Champion,Female,Volleyball,Fall
Beall,1978,Semifinalist,Female,Volleyball,Fall
Bel Air,1988,Semifinalist,Female,Volleyball,Fall
Bel Air,1989,Semifinalist,Female,Volleyball,Fall
Bel Air,1999,Semifinalist,Female,Volleyball,Fall
Bel Air,2012,Semifinalist,Female,Volleyball,Fall
Bel Air,2013,Semifinalist,Female,Volleyball,Fall
Bel Air,2018,Finalist,Female,Volleyball,Fall
Bel Air,2019,Semifinalist,Female,Volleyball,Fall
Bel Air,2021,Semifinalist,Female,Volleyball,Fall
James M. Bennett,1983,Champion,Female,Volleyball,Fall
James M. Bennett,1986,Finalist,Female,Volleyball,Fall
James M. Bennett,2003,Finalist,Female,Volleyball,Fall
James M. Bennett,2003,Finalist,Female,Volleyball,Fall
Bethesda-Chevy Chase,2002,Finalist,Female,Volleyball,Fall
Bethesda-Chevy Chase,2006,Finalist,Female,Volleyball,Fall
Bethesda-Chevy Chase,2007,Finalist,Female,Volleyball,Fall
Montgomery Blair,1999,Champion,Female,Volleyball,Fall
James H. Blake,2010,Finalist,Female,Volleyball,Fall
Bohemia Manor,1980,Finalist,Female,Volleyball,Fall
Bohemia Manor,2021,Finalist,Female,Volleyball,Fall
Boonsboro,1983,Semifinalist,Female,Volleyball,Fall
Boonsboro,1984,Champion,Female,Volleyball,Fall
Boonsboro,1985,Semifinalist,Female,Volleyball,Fall
Boonsboro,2007,Finalist,Female,Volleyball,Fall
Bowie,1981,Semifinalist,Female,Volleyball,Fall
Bowie,1982,Semifinalist,Female,Volleyball,Fall
Bowie,1983,Semifinalist,Female,Volleyball,Fall
Bowie,1985,Semifinalist,Female,Volleyball,Fall
Bowie,1994,Semifinalist,Female,Volleyball,Fall
Bowie,1995,Semifinalist,Female,Volleyball,Fall
Bowie,1996,Semifinalist,Female,Volleyball,Fall
Bowie,1997,Finalist,Female,Volleyball,Fall
Bowie,1988,Semifinalist,Female,Volleyball,Fall
Bowie,1999,Semifinalist,Female,Volleyball,Fall
Bowie,2000,Semifinalist,Female,Volleyball,Fall
Bowie,2002,Semifinalist,Female,Volleyball,Fall
Bowie,2003,Semifinalist,Female,Volleyball,Fall
Bowie,2004,Semifinalist,Female,Volleyball,Fall
Bowie,2009,Semifinalist,Female,Volleyball,Fall
Bowie,2011,Semifinalist,Female,Volleyball,Fall
Bowie,2014,Semifinalist,Female,Volleyball,Fall
Bowie,2015,Semifinalist,Female,Volleyball,Fall
Bowie,2016,Semifinalist,Female,Volleyball,Fall
Bowie,2022,Semifinalist,Female,Volleyball,Fall
Broadneck,2000,Finalist,Female,Volleyball,Fall
Broadneck,2001,Champion,Female,Volleyball,Fall
Broadneck,2002,Champion,Female,Volleyball,Fall
Broadneck,2003,Finalist,Female,Volleyball,Fall
Broadneck,2004,Champion,Female,Volleyball,Fall
Broadneck,2005,Semifinalist,Female,Volleyball,Fall
Broadneck,2006,Semifinalist,Female,Volleyball,Fall
Broadneck,2007,Champion,Female,Volleyball,Fall
Broadneck,2008,Champion,Female,Volleyball,Fall
Broadneck,2009,Champion,Female,Volleyball,Fall
Broadneck,2019,Finalist,Female,Volleyball,Fall
Calvert,1987,Semifinalist,Female,Volleyball,Fall
Calvert,1998,Champion,Female,Volleyball,Fall
Calvert,2003,Champion,Female,Volleyball,Fall
Calvert,2011,Semifinalist,Female,Volleyball,Fall
Calvert,2012,Finalist,Female,Volleyball,Fall
Calvert,2016,Semifinalist,Female,Volleyball,Fall
Calvert,2023,Finalist,Female,Volleyball,Fall
Carver A&T,2013,Finalist,Female,Volleyball,Fall
Catonsville,1979,Champion,Female,Volleyball,Fall
Catonsville,1980,Champion,Female,Volleyball,Fall
Catonsville,1981,Champion,Female,Volleyball,Fall
Catonsville,1982,Champion,Female,Volleyball,Fall
Catonsville,1983,Champion,Female,Volleyball,Fall
Catonsville,1986,Champion,Female,Volleyball,Fall
Catonsville,1987,Champion,Female,Volleyball,Fall
Catonsville,1985,Finalist,Female,Volleyball,Fall
Catonsville,1995,Finalist,Female,Volleyball,Fall
Catonsville,1988,Semifinalist,Female,Volleyball,Fall
Catonsville,1990,Semifinalist,Female,Volleyball,Fall
Catonsville,1991,Semifinalist,Female,Volleyball,Fall
Catonsville,1992,Semifinalist,Female,Volleyball,Fall
Catonsville,2006,Semifinalist,Female,Volleyball,Fall
Catoctin,2009,Finalist,Female,Volleyball,Fall
Catoctin,2010,Finalist,Female,Volleyball,Fall
Centennial,1989,Champion,Female,Volleyball,Fall
Centennial,1991,Champion,Female,Volleyball,Fall
Centennial,1992,Champion,Female,Volleyball,Fall
Centennial,1993,Champion,Female,Volleyball,Fall
Centennial,1994,Champion,Female,Volleyball,Fall
