Year,Sport,Gender,School,Coach,Classification,Status,Final Score,Opponent Score,Opponent,Wins,Losses
1990,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,17,6,,,
1990,Lacrosse,Boys,North Harford,John Grubb,2A-1A,Champion,5,1,,,
1991,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,13,4,,,
1991,Lacrosse,Boys,Mount Hebron,Warren Michael,2A-1A,Champion,8,7,Towson,,
1992,Lacrosse,Boys,Broadneck,Clay White,4A-3A,Champion,1,7,Towson,,
1993,Lacrosse,Boys,Broadneck,Clay White,4A-3A,Champion,13,7,Towson,,
1994,Lacrosse,Boys,Annapolis,Dan Hart,4A-3A,Champion,7,5,,,
1994,Lacrosse,Boys,Towson,Randy Dase,2A-1A,Champion,9,8,,,
1995,Lacrosse,Boys,Arundel,Clint Gosnell,4A-3A,Champion,11,10,,,
1995,Lacrosse,Boys,North Harford,John Grubb,2A-1A,Champion,12,5,,,
1996,Lacrosse,Boys,Hereford,Whit Morrill,2A-1A,Champion,8,7,,,
1996,Lacrosse,Boys,Broadneck,Clay White,4A-3A,Champion,10,9,,,
1997,Lacrosse,Boys,Broadneck,Clay White,4A-3A,Champion,9,8,,,
1997,Lacrosse,Boys,Towson,Randy Dase,2A-1A,Champion,6,4,,,
1998,Lacrosse,Boys,Annapolis,Dan Hart,4A-3A,Champion,12,7,,,
1998,Lacrosse,Boys,Centennial,Mike Siegert,2A-1A,Champion,10,5,,,
1999,Lacrosse,Boys,Mount Hebron,Jeff Doolan,2A-1A,Champion,7,5,,,
1999,Lacrosse,Boys,Severna Park,Mike Bellotte,4A-3A,Champion,12,8,,,
2000,Lacrosse,Boys,Hereford,Whit Morrill,3A-2A-1A,Champion,11,8,,,
2000,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,10,8,,,
2001,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,11,10,,,
2001,Lacrosse,Boys,Fallston,Matt Parks,3A-2A,Champion,11,10,,,
2001,Lacrosse,Boys,Pikesville,Tano Arrogancia,2A-1A,Champion,17,7,,,
2002,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,16,15,,,
2002,Lacrosse,Boys,Mount Hebron,Tom Minard,3A-2A,Champion,18,9,,,
2002,Lacrosse,Boys,Centennial,Mike Siegert,2A-1A,Champion,16,6,,,
2003,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,13,12,,,
2003,Lacrosse,Boys,Annapolis,Joe Keenan,3A-2A,Champion,9,6,,,
2003,Lacrosse,Boys,Hereford,Carl Runk,2A-1A,Champion,11,9,,,
2004,Lacrosse,Boys,Pikesville,Craig Campbell,2A-1A,Champion,11,6,,,
2004,Lacrosse,Boys,Severna Park,Jim Beardmore,4A-3A,Champion,13,11,,,
2004,Lacrosse,Boys,Centennial,Mike Siegert,3A-2A,Champion,9,7,,,
2005,Lacrosse,Boys,Parkside,Jeremy Michalski,2A-1A,Champion,16,6,,,
2005,Lacrosse,Boys,Centennial,Mike Siegert,3A-2A,Champion,10,7,,,
2005,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,14,13,,,
2006,Lacrosse,Boys,Severna Park,Jim Beardmore,4A-3A,Champion,7,4,,,
2006,Lacrosse,Boys,Loch Raven,Rob Persing,2A-1A,Champion,10,7,,,
2006,Lacrosse,Boys,Mount Hebron,Tom Minard,3A-2A,Champion,9,7,,,
2007,Lacrosse,Boys,Glenelg,Josh Hatmaker,3A-2A,Champion,6,3,,,
2007,Lacrosse,Boys,Winters Mill,Sal Picataggi,2A-1A,Champion,7,6,,,
2007,Lacrosse,Boys,Severna Park,Larry Kramer,4A-3A,Champion,15,6,,,
2008,Lacrosse,Boys,Dulaney,Jake Reed,4A-3A,Champion,8,7,,,
2008,Lacrosse,Boys,Glenelg,Josh Hatmaker,2A-1A,Champion,7,4,,,
2008,Lacrosse,Boys,Hereford,Carl Runk,3A-2A,Champion,15,7,,,
2009,Lacrosse,Boys,Hereford,Brian King,3A-2A,Champion,13,8,,,
2009,Lacrosse,Boys,Pikesville,Craig Campbell,2A-1A,Champion,6,5,,,
2009,Lacrosse,Boys,South River,Paul Noone,4A-3A,Champion,11,6,,,
2010,Lacrosse,Boys,Severna Park,Larry Kramer,4A-3A,Champion,13,7,,,
2010,Lacrosse,Boys,Hereford,Brian King,3A-2A,Champion,13,9,,,
2010,Lacrosse,Boys,Queen Anne’s,Mike Ransom,2A-1A,Champion,7,6,,,
2011,Lacrosse,Boys,Hereford,Brian King,3A-2A,Champion,14,7,,,
2011,Lacrosse,Boys,Linganore,Stan Aldridge,4A-3A,Champion,13,12,,,
2011,Lacrosse,Boys,Glenelg,Josh Hatmaker,2A-1A,Champion,5,4,,,
2012,Lacrosse,Boys,Fallston,Matt Parks,2A-1A,Champion,14,7,,,
2012,Lacrosse,Boys,South River,Paul Noone,4A-3A,Champion,10,8,,,
2012,Lacrosse,Boys,Hereford,Brian King,3A-2A,Champion,13,8,,,
2013,Lacrosse,Boys,Hereford,Brian King,3A-2A,Champion,13,3,,,
2013,Lacrosse,Boys,Westminster,Steve DeFeo,4A-3A,Champion,13,10,,,
2013,Lacrosse,Boys,Fallston,Matt Parks,2A-1A,Champion,15,5,,,
2014,Lacrosse,Boys,Fallston,Matt Parks,2A-1A,Champion,17,7,,,
2014,Lacrosse,Boys,Kent Island,Davey Jones,3A-2A,Champion,8,6,,,
2014,Lacrosse,Boys,South River,Paul Noone,4A-3A,Champion,10,8,,,
2015,Lacrosse,Boys,Howard,Jimmy Creighton,4A-3A,Champion,14,6,,,
2015,Lacrosse,Boys,Kent Island,Davey Jones,3A-2A,Champion,20,7,,,
2015,Lacrosse,Boys,Easton,Dennis Keenan,2A-1A,Champion,8,4,,,
2016,Lacrosse,Boys,Severna Park,Dave Earl,4A-3A,Champion,9,3,,,
2016,Lacrosse,Boys,Linganore,Rich Thompson,3A-2A,Champion,9,7,,,
2016,Lacrosse,Boys,Fallston,Matt Parks,2A-1A,Champion,12,5,,,
2017,Lacrosse,Boys,Southern-AA,Brendan Brace,2A-1A,Champion,20,7,,,
2017,Lacrosse,Boys,Severna Park,Dave Earl,4A-3A,Champion,7,6,,,
2017,Lacrosse,Boys,Northern-Calvert,Joe Casalino,3A-2A,Champion,5,4,,,
2018,Lacrosse,Boys,Severna Park,Dave Earl,4A,Champion,8,7,,,
2018,Lacrosse,Boys,Westminster,Steve DeFeo,3A,Champion,12,8,,,
2018,Lacrosse,Boys,Marriotts Ridge,Tony Incontrera,2A,Champion,8,6,,,
2018,Lacrosse,Boys,Patterson Mill,Jason Bellamy,1A,Champion,18,8,,,
2019,Lacrosse,Boys,Patterson Mill,Jason Bellamy,1A,Champion,14,3,,,
2019,Lacrosse,Boys,Glenelg,Josh Hatmaker,2A,Champion,11,7,,,
2019,Lacrosse,Boys,Westminster,Steve DeFeo,3A,Champion,9,8,,,
2019,Lacrosse,Boys,Severna Park,Dave Earl,4A,Champion,9,6,,,
2020,Lacrosse,Boys,N/A,N/A,N/A,Season Cancelled,,,,,
2020,Lacrosse,Boys,,,,Season Cancelled,,,,,
2021,Lacrosse,Boys,Severna Park,Travis Loving,4A,Champion,11,3,,,
2021,Lacrosse,Boys,Fallston,Patrick Mull,1A,Champion,13,8,,,
2021,Lacrosse,Boys,Hereford,Kyle Lippert,2A,Champion,5,4,,,
2021,Lacrosse,Boys,Urbana,Gavin Donahue,3A,Champion,7,6,,,
2022,Lacrosse,Boys,Southern-AA,Brendan Brace,1A,Champion,14,7,,,
2022,Lacrosse,Boys,Kent Island,Robert Woolley,2A,Champion,11,7,,,
2022,Lacrosse,Boys,Winston Churchill,Jeff Fritz,4A,Champion,15,7,,,
2022,Lacrosse,Boys,Severna Park,Dave Earl,3A,Champion,9,6,,,
2023,Lacrosse,Boys,Severna Park,Dave Earl,3A,Champion,9,8,,,
2023,Lacrosse,Boys,Broadneck,Jeff McGuire,4A,Champion,16,6,,,
2023,Lacrosse,Boys,Broadneck,Jeff McGuire,4A,Champion,16,6,Severna Park,,
2023,Lacrosse,Boys,Fallston,Patrick Mull,1A,Champion,19,7,Patterson Mill,,
2023,Lacrosse,Boys,Kent Island,Robert Woolley,2A,Champion,9,3,Hereford,,
2023,Lacrosse,Boys,Severna Park,Dave Earl,3A,Champion,9,8,Westminster,,
2023,Lacrosse,Boys,Kent Island,Robert Woolley,2A,Champion,9,3,,,
2023,Lacrosse,Boys,Fallston,Patrick Mull,1A,Champion,19,7,,,
