Year,Sport,Gender,School,Coach,Classification,Status,Final Score,Opponent Score,Opponent,Wins,Losses
1990,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,12,10,Loch Raven,,
1990,Lacrosse,Girls,Loch Raven,Wendy Galinn,2A-1A,Champion,14,10,Severna Park,,
1991,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,9,5,Loch Raven,,
1991,Lacrosse,Girls,Loch Raven,Wendy Galinn,2A-1A,Champion,14,9,Severna Park,,
1992,Lacrosse,Girls,Mount Hebron,P. J. Kesmodel,2A-1A,Champion,15,10,Severna Park,,
1992,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,19,9,Mount Hebron,,
1993,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,14,6,Mount Hebron,,
1993,Lacrosse,Girls,Mount Hebron,P. J. Kesmodel,2A-1A,Champion,9,7,Severna Park,,
1994,Lacrosse,Girls,Loch Raven,Wendy Galinn,2A-1A,Champion,19,7,Mount Hebron,,
1994,Lacrosse,Girls,Mount Hebron,P. J. Kesmodel,4A-3A,Champion,19,8,Loch Raven,,
1995,Lacrosse,Girls,Loch Raven,Wendy Galinn,2A-1A,Champion,18,5,Mount Hebron,,
1995,Lacrosse,Girls,Mount Hebron,P. J. Kesmodel,4A-3A,Champion,20,7,Loch Raven,,
1996,Lacrosse,Girls,Annapolis,Dave Gehrdes,4A-3A,Champion,11,10,Catonsville,,
1996,Lacrosse,Girls,Catonsville,Kim McNemar,2A-1A,Champion,17,5,Annapolis,,
1997,Lacrosse,Girls,Mount Hebron,Chris Robinson,4A-3A,Champion,8,6,Towson,,
1997,Lacrosse,Girls,Towson,Wendy Kridel,2A-1A,Champion,12,6,Mount Hebron,,
1998,Lacrosse,Girls,Annapolis,Dave Gehrdes,4A-3A,Champion,17,2,Mount Hebron,,
1998,Lacrosse,Girls,Mount Hebron,Chris Robinson,2A-1A,Champion,9,7,Annapolis,,
1999,Lacrosse,Girls,Annapolis,Dave Gehrdes,4A-3A,Champion,13,4,Mount Hebron,,
1999,Lacrosse,Girls,Mount Hebron,Chris Robinson,2A-1A,Champion,16,4,Annapolis,,
2000,Lacrosse,Girls,Mount Hebron,Chris Robinson,3A-2A-1A,Champion,16,4,Severna Park,,
2000,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,5,4,Mount Hebron,,
2001,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,7,6,Mount Hebron,,
2001,Lacrosse,Girls,Hereford,Anne Ensor,2A-1A,Champion,12,3,Mount Hebron,,
2001,Lacrosse,Girls,Mount Hebron,Chris Robinson,3A-2A,Champion,19,6,Severna Park,,
2002,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,18,7,Broadneck,,
2002,Lacrosse,Girls,Hereford,Anne Ensor,2A-1A,Champion,21,4,Mount Hebron,,
2002,Lacrosse,Girls,Broadneck,Karen Tengwall,4A-3A,Champion,10,3,Mount Hebron,,
2003,Lacrosse,Girls,Hereford,Anne Ensor,2A-1A,Champion,14,9,Mount Hebron,,
2003,Lacrosse,Girls,Broadneck,Karen Tengwall,4A-3A,Champion,9,8,Mount Hebron,,
2003,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,18,6,Broadneck,,
2004,Lacrosse,Girls,Century,Rose Pentz,2A-1A,Champion,15,7,Mount Hebron,,
2004,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,21,7,C. Milton Wright,,
2004,Lacrosse,Girls,C. Milton Wright,Carl Greenberg,4A-3A,Champion,19,6,Mount Hebron,,
2005,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,11,5,Glenelg,,
2005,Lacrosse,Girls,Dulaney,Tina McGinn,4A-3A,Champion,9,4,Mount Hebron,,
2005,Lacrosse,Girls,Glenelg,Ginger Kincaid,2A-1A,Champion,11,10,Mount Hebron,,
2006,Lacrosse,Girls,Century,Rose Pentz,2A-1A,Champion,16,6,Mount Hebron,,
2006,Lacrosse,Girls,Dulaney,Kristi Korrow,4A-3A,Champion,11,9,Mount Hebron,,
