Year,Sport,Gender,School,Coach,Classification,Status,Final Score,Opponent Score,Opponent,Wins,Losses
1990,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,17.0,6.0,,,
1990,Lacrosse,Boys,North Harford,John Grubb,2A-1A,Champion,5.0,1.0,,,
1991,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,13.0,4.0,,,
1991,Lacrosse,Boys,Mount Hebron,Warren Michael,2A-1A,Champion,8.0,7.0,Towson,,
1992,Lacrosse,Boys,Broadneck,Clay White,4A-3A,Champion,1.0,7.0,Towson,,
1993,Lacrosse,Boys,Broadneck,Clay White,4A-3A,Champion,13.0,7.0,Towson,,
1994,Lacrosse,Boys,Annapolis,Dan Hart,4A-3A,Champion,7.0,5.0,,,
1994,Lacrosse,Boys,Towson,Randy Dase,2A-1A,Champion,9.0,8.0,,,
1995,Lacrosse,Boys,Arundel,Clint Gosnell,4A-3A,Champion,11.0,10.0,,,
1995,Lacrosse,Boys,North Harford,John Grubb,2A-1A,Champion,12.0,5.0,,,
1996,Lacrosse,Boys,Hereford,Whit Morrill,2A-1A,Champion,8.0,7.0,,,
1996,Lacrosse,Boys,Broadneck,Clay White,4A-3A,Champion,10.0,9.0,,,
1997,Lacrosse,Boys,Broadneck,Clay White,4A-3A,Champion,9.0,8.0,,,
1997,Lacrosse,Boys,Towson,Randy Dase,2A-1A,Champion,6.0,4.0,,,
1998,Lacrosse,Boys,Annapolis,Dan Hart,4A-3A,Champion,12.0,7.0,,,
1998,Lacrosse,Boys,Centennial,Mike Siegert,2A-1A,Champion,10.0,5.0,,,
1999,Lacrosse,Boys,Mount Hebron,Jeff Doolan,2A-1A,Champion,7.0,5.0,,,
1999,Lacrosse,Boys,Severna Park,Mike Bellotte,4A-3A,Champion,12.0,8.0,,,
2000,Lacrosse,Boys,Hereford,Whit Morrill,3A-2A-1A,Champion,11.0,8.0,,,
2000,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,10.0,8.0,,,
2001,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,11.0,10.0,,,
2001,Lacrosse,Boys,Fallston,Matt Parks,3A-2A,Champion,11.0,10.0,,,
2001,Lacrosse,Boys,Pikesville,Tano Arrogancia,2A-1A,Champion,17.0,7.0,,,
2002,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,16.0,15.0,,,
2002,Lacrosse,Boys,Mount Hebron,Tom Minard,3A-2A,Champion,18.0,9.0,,,
2002,Lacrosse,Boys,Centennial,Mike Siegert,2A-1A,Champion,16.0,6.0,,,
2003,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,13.0,12.0,,,
2003,Lacrosse,Boys,Annapolis,Joe Keenan,3A-2A,Champion,9.0,6.0,,,
2003,Lacrosse,Boys,Hereford,Carl Runk,2A-1A,Champion,11.0,9.0,,,
2004,Lacrosse,Boys,Pikesville,Craig Campbell,2A-1A,Champion,11.0,6.0,,,
2004,Lacrosse,Boys,Severna Park,Jim Beardmore,4A-3A,Champion,13.0,11.0,,,
2004,Lacrosse,Boys,Centennial,Mike Siegert,3A-2A,Champion,9.0,7.0,,,
2005,Lacrosse,Boys,Parkside,Jeremy Michalski,2A-1A,Champion,16.0,6.0,,,
2005,Lacrosse,Boys,Centennial,Mike Siegert,3A-2A,Champion,10.0,7.0,,,
2005,Lacrosse,Boys,Dulaney,Gary Schreiber,4A-3A,Champion,14.0,13.0,,,
2006,Lacrosse,Boys,Severna Park,Jim Beardmore,4A-3A,Champion,7.0,4.0,,,
2006,Lacrosse,Boys,Loch Raven,Rob Persing,2A-1A,Champion,10.0,7.0,,,
2006,Lacrosse,Boys,Mount Hebron,Tom Minard,3A-2A,Champion,9.0,7.0,,,
2007,Lacrosse,Boys,Glenelg,Josh Hatmaker,3A-2A,Champion,6.0,3.0,,,
2007,Lacrosse,Boys,Winters Mill,Sal Picataggi,2A-1A,Champion,7.0,6.0,,,
2007,Lacrosse,Boys,Severna Park,Larry Kramer,4A-3A,Champion,15.0,6.0,,,
2008,Lacrosse,Boys,Dulaney,Jake Reed,4A-3A,Champion,8.0,7.0,,,
2008,Lacrosse,Boys,Glenelg,Josh Hatmaker,2A-1A,Champion,7.0,4.0,,,
2008,Lacrosse,Boys,Hereford,Carl Runk,3A-2A,Champion,15.0,7.0,,,
2009,Lacrosse,Boys,Hereford,Brian King,3A-2A,Champion,13.0,8.0,,,
2009,Lacrosse,Boys,Pikesville,Craig Campbell,2A-1A,Champion,6.0,5.0,,,
2009,Lacrosse,Boys,South River,Paul Noone,4A-3A,Champion,11.0,6.0,,,
2010,Lacrosse,Boys,Severna Park,Larry Kramer,4A-3A,Champion,13.0,7.0,,,
2010,Lacrosse,Boys,Hereford,Brian King,3A-2A,Champion,13.0,9.0,,,
