Category,Number,Name,School,Year(s)
Home Runs,3,Jessi Bryant,Catoctin,2016
Triples,3,Sonya Wilmoth,C. Milton Wright,1984
Triples,3,Joanne Ferguson,Damascus,1990-92
Triples,3,Amanda Shifflett,Northeast-AA,"1996, 1997, 1999"
Triples,3,Heather Frye,North County,"2000, 2002"
Triples,3,Katie Healy,Linganore,2022
Doubles,5,Adrienne Gebele,Broadneck,"2009, 2010"
Doubles,5,Kaitlyn Schmeiser,Northern-Calvert,2008-11
Pitchers — State Championship Wins,4,Kaitlyn Schmeiser,Northern-Calvert,2008-11
Pitchers — Tournament Wins,8,Kaitlyn Schmeiser,Northern-Calvert,2008-11
Pitchers — No Hitters,3,Kelly Shipman,Northern-Calvert,"1994, 1995"
Pitchers — No Hitters,3,Clarissa Crowell,McDonough,"1996, 1997"
Pitchers — Shutouts,6,Kaitlyn Schmeiser,Northern-Calvert,2008-11
Pitchers — Perfect Games,1,Jenny Parsons,Glen Burnie,1989
Pitchers — Perfect Games,1,Jenny Joyce,Mount Hebron,1995
Pitchers — Perfect Games,1,Kelly Shipman,Northern-Calvert,1995
Pitchers — Perfect Games,1,Candice Rice,Northern-Calvert,1996
Pitchers — Perfect Games,1,Clarissa Crowell,McDonough,1997
Pitchers — Perfect Games,1,Stephanie Speierman,Hammond,2007
Pitchers — Strikeouts in a Game,19,Megan Elliott,Calvert,2003
Pitchers — Strikeouts in a Game,19,Stephanie Speierman,Hammond,2007
Pitchers — Strikeouts in a Game,19,Melanie Mitchell,McDonough,2009
Pitchers — Strikeouts in a Game,19,Madison Penta,Bohemia Manor,2019
Pitchers — Strikeouts in a Game,19,Taylor Smith,Catoctin,2023
Longest State Tournament Game,23 inns,Surrattsville (2) vs. North Carroll (1),-,1989
