Record Level,Category,Title,Number/Record,Name,School,Year(s),Gender
State Tournament,Offense,Home Runs,3,Jessi Bryant,Catoctin,2016,Girls
State Tournament,Offense,Triples,3,Sonya Wilmoth,C. Milton Wright,1984,Girls
State Tournament,Offense,Triples,3,Joanne Ferguson,Damascus,1990-92,Girls
State Tournament,Offense,Triples,3,Amanda Shifflett,Northeast-AA,"1996, 1997, 1999",Girls
State Tournament,Offense,Triples,3,Heather Frye,North County,"2000, 2002",Girls
State Tournament,Offense,Triples,3,Katie Healy,Linganore,2022,Girls
State Tournament,Offense,Doubles,5,Adrienne Gebele,Broadneck,"2009, 2010",Girls
State Tournament,Offense,Doubles,5,Kaitlyn Schmeiser,Northern-Calvert,2008-11,Girls
State Tournament,Pitching,State Championship Wins,4,Kaitlyn Schmeiser,Northern-Calvert,2008-11,Girls
State Tournament,Pitching,Tournament Wins,8,Kaitlyn Schmeiser,Northern-Calvert,2008-11,Girls
State Tournament,Pitching,No Hitters,3,Kelly Shipman,Northern-Calvert,"1994, 1995",Girls
State Tournament,Pitching,No Hitters,3,Clarissa Crowell,McDonough,"1996, 1997",Girls
State Tournament,Pitching,Shutouts,6,Kaitlyn Schmeiser,Northern-Calvert,2008-11,Girls
State Tournament,Pitching,Perfect Games,1,Jenny Parsons,Glen Burnie,1989,Girls
State Tournament,Pitching,Perfect Games,1,Jenny Joyce,Mount Hebron,1995,Girls
State Tournament,Pitching,Perfect Games,1,Kelly Shipman,Northern-Calvert,1995,Girls
State Tournament,Pitching,Perfect Games,1,Candice Rice,Northern-Calvert,1996,Girls
State Tournament,Pitching,Perfect Games,1,Clarissa Crowell,McDonough,1997,Girls
State Tournament,Pitching,Perfect Games,1,Stephanie Speierman,Hammond,2007,Girls
State Tournament,Pitching,Strikeouts in a Game,19,Megan Elliott,Calvert,2003,Girls
State Tournament,Pitching,Strikeouts in a Game,19,Stephanie Speierman,Hammond,2007,Girls
State Tournament,Pitching,Strikeouts in a Game,19,Melanie Mitchell,McDonough,2009,Girls
State Tournament,Pitching,Strikeouts in a Game,19,Madison Penta,Bohemia Manor,2019,Girls
State Tournament,Pitching,Strikeouts in a Game,19,Taylor Smith,Catoctin,2023,Girls
