year,sport,gender,class,champ,school,score
1975,Tennis,Boys,NA,John Olson,Bowie,"6-7, 7-6, 7-6"
1976,Tennis,Boys,NA,Steve Epstein,Walt Whitman,"6-2, 6-3"
1977,Tennis,Boys,NA,John Graybeal,Bel Air,"6-3, 6-4"
1978,Tennis,Boys,NA,John Albert,Winston Churchill,"6-3, 6-2"
1979,Tennis,Boys,NA,George Myers,Bethesda-CC,"6-4, 6-2"
1980,Tennis,Boys,NA,Andy New,Winston Churchill,"6-2, 6-7, 5-5 (retire)"
1981,Tennis,Boys,NA,Kevin Lubbers,Bethesda-CC,"6-2, 3-6, 6-4"
1982,Tennis,Boys,NA,Scott McTeer,Severna Park,"6-2, 6-4"
1983,Tennis,Boys,NA,Tom Bender,Dulaney,"7-6, 6-2"
1984,Tennis,Boys,NA,Billy Schief,Walt Whitman,"6-2, 6-2"
1985,Tennis,Boys,NA,Steve Miguel,North Hagerstown,"6-4, 6-1"
1986,Tennis,Boys,NA,Danny Cantwell,Parkside,"1-6, 7-5, 6-4"
1987,Tennis,Boys,NA,Danny Cantwell,Parkside,"6-4, 5-7, 6-2"
1988,Tennis,Boys,NA,Scott Corey,Annapolis,"4-6, 6-2, 6-2"
1989,Tennis,Boys,NA,Andy Mathis,Walt Whitman,"5-7, 6-1, 6-0"
1990,Tennis,Boys,NA,Andy Mathis,Walt Whitman,"7-5, 6-3"
1991,Tennis,Boys,NA,Neil Maurer,Parkside,"7-5, 1-6, 7-6 (7-1)"
1992,Tennis,Boys,NA,Hyan Yoo,Wheaton,"6-3, 6-3"
1993,Tennis,Boys,NA,Hyan Yoo,Wheaton,"6-2, 6-4"
1994,Tennis,Boys,NA,Dale Cathell,Stephen Decatur,"6-1, 6-2"
1995,Tennis,Boys,NA,Marc Dorfman,Thomas S. Wootton,"6-3, 2-6, 7-5"
1996,Tennis,Boys,NA,Derrick Nguyen,Quince Orchard,"6-4, 6-4"
1997,Tennis,Boys,NA,Greg Zielinski,Stephen Decatur,"6-2, 6-2"
1998,Tennis,Boys,NA,Chris Zielinski,Stephen Decatur,"6-1, 6-4"
1999,Tennis,Boys,NA,Chris Brown,Winston Churchill,"6-2, 6-1"
2000,Tennis,Boys,NA,Troy Demers,Annapolis,"6-4, 6-2"
2001,Tennis,Boys,NA,Jason Pinsky,Winston Churchill,"6-3, 6-3"
2002,Tennis,Boys,NA,Jake Benzel,Franklin,"6-4, 6-4"
2003,Tennis,Boys,NA,Mike Goodwin,Richard Montgomery,"6-4, 7-6 (7-4)"
2004,Tennis,Boys,NA,Jared Pinsky,Winston Churchill,"6-4, 6-4"
2005,Tennis,Boys,NA,Jared Pinsky,Winston Churchill,"6-3, 6-2"
2006,Tennis,Boys,NA,David Nguyen,Wilde Lake,"6-3, 6-4"
2007,Tennis,Boys,NA,Jared Pinsky,Winston Churchill,"6-1, 6-4"
2008,Tennis,Boys,NA,Chris Goodwin,Rockville,"6-1, 6-0"
2009,Tennis,Boys,NA,Timothy Klanke,Walt Whitman,"1-6, 7-5, 6-1"
2010,Tennis,Boys,NA,Michael Razumovsky,Pikesville,"6-3, 7-6 (7-5)"
2011,Tennis,Boys,NA,Kevin Chu,Winston Churchill,"6-2, 6-3"
2012,Tennis,Boys,NA,Mateo Cevalles,Thomas S. Wootton,"7-5, 6-7 (2-7), 3-3 (retire)"
2013,Tennis,Boys,NA,Biyik Akinshemoyin,Reservoir,"6-2, 6-1"
2014,Tennis,Boys,NA,Aries Wong,Walt Whitman,"6-1, 6-0"
2015,Tennis,Boys,NA,Alex Caunec,Severna Park,"2-6, 6-1, 6-4"
2016,Tennis,Boys,NA,Joseph Brailovsky,Thomas S. Wootton,"6-2, 3-6, 7-5"
2017,Tennis,Boys,NA,Joseph Brailovsky,Thomas S. Wootton,"6-4, 7-6 (4)"
2018,Tennis,Boys,NA,Joseph Brailovsky,Thomas S. Wootton,"6-0, 7-6 (9-8)"
2019,Tennis,Boys,1A,Daniel Smith,Frederick Douglass-PG,"6-1, 6-3"
2019,Tennis,Boys,2A,Origen Grear,Hammond,"3-6, 7-5, 1-0 [5]"
2019,Tennis,Boys,3A,Taiyo Tougas,Huntingtown,"6-3, 6-3"
2019,Tennis,Boys,4A,Evin McDonald,Walt Whitman,"6-3, 6-3"
2021,Tennis,Boys,1A,Alexander Simanovskiy,Pikesville,"6-0, 6-0"
2021,Tennis,Boys,2A,Noah Fisher,Stephen Decatur,"6-2, 6-0"
2021,Tennis,Boys,3A,Vivekraj Harinarayan,Bel Air,"6-1, 6-0"
2021,Tennis,Boys,4A,Nathan La,Winston Churchill,"6-3, 6-2"
2022,Tennis,Boys,1A,Hunter Liao,Boonsboro,"6-0, 6-1"
2022,Tennis,Boys,2A,Rohan Bhat,Poolesville,"6-1, 6-0"
2022,Tennis,Boys,3A,Alex Artazov,River Hill,"6-1, 2-6, 1-0[7]"
2022,Tennis,Boys,4A,Jakob Esterowitz,Thomas S. Wootton,"6-4, 6-1"
2023,Tennis,Boys,1A,Jakob Esterowitz,Thomas S. Wootton,"6-4, 6-1"
2023,Tennis,Boys,2A,Andy Wu,Poolesville,"6-2, 6-0"
2023,Tennis,Boys,3A,Alex Artazov,River Hill,"7-6[7], 0-6, 1-0[8]"
2023,Tennis,Boys,4A,Noah Lewis,Quince Orchard,"6-1, 6-0"
1975,Tennis,Girls,NA,Ann Beasley,Bethesda-CC,"2-6, 6-2, 6-3"
1976,Tennis,Girls,NA,Tracey Hamburg,Milford Mill,"7-5, 7-6"
1977,Tennis,Girls,NA,Sue Wissler,Great Mills,"6-4, 6-4"
