year,gender,sport,class,champion,coach,finalist,opponent_coach,team_score,opponent_score,notes
1950,Girls,Track and Field,B,Bates,,Worcester,,53,26,Segregated
1950,Girls,Track and Field,C,Bel Alton,,Havre de Grace,,41.5,26.5,Segregated
1975,Girls,Track and Field,,DuVal,Beverly Bigham,Largo,Lee Markley,,,
1976,Girls,Track and Field,AA,Suitland,Patricia Johnson,Springbrook,James Castonguay,,,
1976,Girls,Track and Field,ABC,Largo,Lee Markley,Old Mill,Roy Payne,,,
1977,Girls,Track and Field,AA,Crossland,Lindsay Thomas,Bladensburg,Mary Lucas,,,
1977,Girls,Track and Field,A,Old Mill,Roy Payne,Largo,Barbara Stinson,,,
1977,Girls,Track and Field,B,Central–PG,Vera Stevenson,Meade,Jay Cuthbert,,,
1977,Girls,Track and Field,C,Smithsburg,Don Stoner,Oakland Mills,Alice Frazier,,,
1978,Girls,Track and Field,AA,Severna Park,Donn Gregg,Crossland,Lindsay Thomas,,,
1978,Girls,Track and Field,A,E. Roosevelt,Robyn Tabron,B-CC,Kerry Ward,,,
1978,Girls,Track and Field,B,Oakland Mills,Sylvester Burke,Frederick,Bill Price,,,
1978,Girls,Track and Field,C,Smithsburg,Don Stoner,Col Richardson,Doug Canan,,,
1979,Girls,Track and Field,AA,Crossland,Lindsay Thomas,Annapolis,Bob Walleck,,,
1979,Girls,Track and Field,A,Fairmont Heights,Bob Rothenberg,E. Roosevelt,Ralph White,,,
1979,Girls,Track and Field,B,Frederick,Bill Price,Damascus,Michael Fekete,,,
1979,Girls,Track and Field,C,Smithsburg,Don Stoner,Leonardtown,Robert Taylor,,,
1980,Girls,Track and Field,AA,Bladensburg,Mary Lucas,Crossland,Lindsay Thomas,,,
1980,Girls,Track and Field,A,B-CC,Kerry Ward,Fairmont Heights,Bob Rothenberg,,,
1980,Girls,Track and Field,B,Frederick,Harry Nogle,Sherwood,Sue Gorsuch,,,
1980,Girls,Track and Field,C,Linganore-Barbara,Ferguson,Brunswick,Carol Smith,,,
1981,Girls,Track and Field,AA,Bladensburg,Mary Lucas,Dulaney,Kathy Schmidt,,,
1981,Girls,Track and Field,A,Central–PG,Ed Bowie,B-CC,Kerry Ward,,,
