SCHOOL,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS
ALLEGANY,1927,CHAMPION,BOYS,None listed,Bill Bowers,None
CATONSVILLE,1928,CHAMPION,BOYS,None listed,NA,None
PENN AVENUE,1929,CHAMPION,BOYS,None listed,Bobby Cavanaugh,None
ALLEGANY,1930,CHAMPION,BOYS,None listed,Bill Bowers,None
ALLEGANY,1931,CHAMPION,BOYS,None listed,Bill Bowers,None
ALLEGANY,1932,CHAMPION,BOYS,None listed,Bill Bowers,None
ALLEGANY,1933,CHAMPION,BOYS,None listed,Bill Bowers,None
ALLEGANY,1934,CHAMPION,BOYS,None listed,Bill Bowers,None
PENN AVENUE,1935,CHAMPION,BOYS,None listed,Bobby Cavanaugh,None
ALLEGANY,1936,CHAMPION,BOYS,None listed,Bill Bowers,None
ALLEGANY,1937,CHAMPION,BOYS,None listed,Bill Bowers,None
FORT HILL,1938,CHAMPION,BOYS,None listed,Bobby Cavanaugh,None
FORT HILL,1939,CHAMPION,BOYS,None listed,Bobby Cavanaugh,None
ALLEGANY,1947,CHAMPION,BOYS,45-16,Bill Bowers,A
WESTMINSTER,1947,CHAMPION,BOYS,39-24,Herb Ruby,B
GWYNN PARK,1947,CHAMPION,GIRLS,28-10,Mrs. Schaeffer,D
BRUNSWICK,1947,SEMIFINALIST,BOYS,NA,NA,NA
CAMBRIDGE,1947,FINALIST,BOYS,NA,NA,NA
DENTON,1947,SEMIFINALIST,BOYS,NA,NA,NA
EASTON,1947,FINALIST,BOYS,NA,NA,NA
GLEN BURNIE,1947,SEMIFINALIST,BOYS,NA,NA,NA
GREENBELT,1947,CHAMPION,BOYS,42-29,NA,C
HAGERSTOWN,1947,SEMIFINALIST,BOYS,NA,NA,NA
HYATTSVILLE,1947,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT RAINIER,1947,CHAMPION,BOYS,NA,NA,NA
SPARROWS POINT,1947,FINALIST,BOYS,NA,NA,NA
SUDLERSVILLE,1947,SEMIFINALIST,BOYS,NA,NA,NA
VIENNA,1947,FINALIST,BOYS,NA,NA,NA
WICOMICO,1947,SEMIFINALIST,BOYS,NA,NA,NA
WILLIAMSPORT,1947,SEMIFINALIST,BOYS,NA,NA,NA
HAGERSTOWN,1947,FINALIST,GIRLS,NA,NA,A
GREENBELT,1947,FINALIST,GIRLS,NA,NA,C
HURLOCK,1947,FINALIST,GIRLS,NA,Violet Weller,D
KENWOOD,1947,CHAMPION,GIRLS,36-13,NA,A
EASTON,1947,CHAMPION,GIRLS,16-15,Mary Brooks,C
MT. RAINIER,1947,CHAMPION,BOYS,34–16,NA,D
FORT HILL,1948,CHAMPION,BOYS,79-16,Bobby Cavanaugh,A
FRANKLIN,1948,CHAMPION,BOYS,62-38,Frank Dorn,B
BRUCE,1948,CHAMPION,BOYS,57-30,Jack Petry,C
BETHESDA-CHEVY CHASE,1948,SEMIFINALIST,BOYS,NA,NA,NA
CALVERT,1948,CHAMPION,BOYS,NA,NA,NA
CAMBRIDGE,1948,FINALIST,BOYS,NA,NA,NA
DAMASCUS,1948,SEMIFINALIST,BOYS,NA,NA,NA
ELKTON,1948,SEMIFINALIST,BOYS,NA,NA,NA
GREENBELT,1948,SEMIFINALIST,BOYS,NA,NA,NA
OCEAN CITY,1948,FINALIST,BOYS,NA,NA,NA
SPARKS,1948,SEMIFINALIST,BOYS,NA,NA,NA
SUDLERSVILLE,1948,SEMIFINALIST,BOYS,NA,NA,NA
WASHINGTON,1948,FINALIST,BOYS,NA,NA,NA
WICOMICO,1948,FINALIST,BOYS,NA,NA,NA
WILLIAMSPORT,1948,CHAMPION,BOYS,49-33,Richard Doub,D
WICOMICO,1948,FINALIST,GIRLS,NA,Edythe Trigiani,A
DENTON,1948,FINALIST,GIRLS,NA,NA,C
MARDELA,1948,FINALIST,GIRLS,NA,Bill Twiley,D
EASTON,1948,FINALIST,GIRLS,NA,NA,D(Segregated)
BETHESDA-CHEVY CHASE,1948,CHAMPION,GIRLS,47-14,NA,A
RICHARD MONTGOMERY,1948,CHAMPION,GIRLS,32-19,NA,C
GWYNN PARK,1948,CHAMPION,GIRLS,34-14,NA,D
CARVER,1948,CHAMPION,GIRLS,14-12,Charles Waterman,D (Segregated)
EASTON,1948,FINALIST,BOYS,NA,NA,D (Segregated)
NORTH STREET (HAGERSTOWN),1948,CHAMPION,BOYS,37-20,Hensoley,D (Segregated)
FORT HILL,1949,CHAMPION,BOYS,53-36,Bobby Cavanaugh,A
BEALL,1949,CHAMPION,BOYS,47-23,Ebbie Finzel,B
DAMASCUS,1949,CHAMPION,BOYS,63-54,Harry Stipe,D
BRUCE,1949,CHAMPION,BOYS,49-26,Jack Grindle,C
CALVERT,1949,CHAMPION,BOYS,NA,NA,NA
CAMBRIDGE,1949,FINALIST,BOYS,NA,NA,NA
CATONSVILLE,1949,SEMIFINALIST,BOYS,NA,NA,NA
CLARKSVILLE,1949,SEMIFINALIST,BOYS,NA,NA,NA
ELKTON,1949,SEMIFINALIST,BOYS,NA,NA,NA
FRIENDLY,1949,SEMIFINALIST,BOYS,NA,NA,NA
GREENBELT,1949,SEMIFINALIST,BOYS,NA,NA,NA
HYATTSVILLE,1949,SEMIFINALIST,BOYS,NA,NA,NA
NORTH EAST (CECIL),1949,SEMIFINALIST,BOYS,NA,NA,NA
OCEAN CITY,1949,FINALIST,BOYS,NA,NA,NA
WASHINGTON,1949,FINALIST,BOYS,NA,NA,NA
WICOMICO,1949,FINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1949,FINALIST,GIRLS,NA,NA,A
RICHARD MONTGOMERY,1949,FINALIST,GIRLS,NA,NA,C
RICHARD DOUB,1949,FINALIST,GIRLS,NA,NA,D
BETHESDA-CHEVY CHASE,1949,CHAMPION,GIRLS,41-28,NA,A
EASTON,1949,CHAMPION,GIRLS,36-22,NA,C
WILLIAMSPORT,1949,CHAMPION,GIRLS,38-23,NA,D
ALLEGANY,1950,CHAMPION,BOYS,53-52,Bill Bowers,A
BARTON,1950,CHAMPION,BOYS,58-39,John Thomas,C
ABERDEEN,1950,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL (LONACONING),1950,CHAMPION,BOYS,NA,NA,NA
CLARKSVILLE,1950,FINALIST,BOYS,NA,NA,NA
DAMASCUS,1950,SEMIFINALIST,BOYS,NA,NA,NA
ELKTON,1950,FINALIST,BOYS,NA,NA,NA
FRIENDLY,1950,SEMIFINALIST,BOYS,NA,NA,NA
GLEN BURNIE,1950,SEMIFINALIST,BOYS,NA,NA,NA
MARDELA,1950,FINALIST,BOYS,NA,NA,NA
MONTGOMERY BLAIR,1950,FINALIST,BOYS,NA,NA,NA
WICOMICO,1950,FINALIST,BOYS,NA,NA,NA
CENTRAL-LONACONING,1950,CHAMPION,BOYS,50-37,Johnny Myers,B
HAVRE DE GRACE,1950,SEMIFINALIST,BOYS,21-65,NA,State Semifinals (Segregated)
CARVER (ELKTON),1950,FINALIST,BOYS,NA,NA,State Finals (Segregated)
NORTH STREET (HAGERSTOWN),1950,CHAMPION,BOYS,46-39,NA,State Finals (Segregated)
ABERDEEN,1951,CHAMPION,BOYS,44-43,Bruce Eichorn,B
BARTON,1951,CHAMPION,BOYS,52-45,John Thomas,C
OCEAN CITY,1951,FINALIST,BOYS,NA,NA,NA
WICOMICO,1951,FINALIST,BOYS,NA,NA,NA
HAGERSTOWN,1951,CHAMPION,BOYS,28-27,Walter Bowers,A
BEL ALTON,1951,SEMIFINALIST,BOYS,NA,NA,C-State Semifinals (Segregated)
LINCOLN (FREDERICK),1951,FINALIST,BOYS,NA,NA,C-State Finals (Segregated)
CARVER (TOWSON),1951,CHAMPION,BOYS,45-44,NA,C-State Finals (Segregated)
MONTGOMERY BLAIR,1952,CHAMPION,BOYS,42-34,David Carrasco,A
BARTON,1952,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL (LONACONING),1952,CHAMPION,BOYS,NA,NA,NA
DAMASCUS,1952,SEMIFINALIST,BOYS,NA,NA,NA
EASTON,1952,FINALIST,BOYS,NA,NA,NA
GLEN BURNIE,1952,SEMIFINALIST,BOYS,NA,NA,NA
