f,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS,,,,,,,
ABERDEEN,1950,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1951,CHAMPION,BOYS,44-43,BRUCE EICHORN,B,,,,,,,
ABERDEEN,1955,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1959,FINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1962,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1976,CHAMPION,BOYS,66-55,TERRY COLAW,A,,,,,,,
ABERDEEN,1977,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1981,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1983,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1984,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1986,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1996,FINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1998,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,1999,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,2000,CHAMPION,BOYS,50-48,RICHARD HART,B,,,,,,,
ABERDEEN,2002,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
ABERDEEN,2003,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
ABERDEEN,2005,FINALIST,BOYS,NA,NA,NA,,,,,,,
ABERDEEN,2011,FINALIST,GIRLS,NA,NA,NA,,,,,,,
ABERDEEN,2012,CHAMPION,GIRLS,NA,NA,NA,,,,,,,
ABERDEEN,2013,CHAMPION,GIRLS,NA,NA,NA,,,,,,,
ABERDEEN,2019,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
ABERDEEN,2023,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ALBERT EINSTEIN,1983,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ALBERT EINSTEIN,1989,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
ALBERT EINSTEIN,1999,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
ALLEGANY,1927,CHAMPION,BOYS,NA,BILL BOWERS,NA,,,,,,,
ALLEGANY,1930,CHAMPION,BOYS,NA,BILL BOWERS,NA,,,,,,,
ALLEGANY,1931,CHAMPION,BOYS,NA,BILL BOWERS,NA,,,,,,,
