32-Plus Point Scorers - State Tournaments,,,,,,,,,,
Points,Year,Class,Game,Player,School,Gender,,,,
49,1986,C,Semifinal,Tammy Joy,Catoctin,Girls,,,,
48,1976,A,Final,Janet Flora,Loch Raven,Girls,,,,
47,2017,3A,Final,Makayla Daniels,Frederick,Girls,,,,
44,1990,1A,Semifinal,Tia Jackson,Mardela,Girls,,,,
43,1984,C,Semifinal,Jenny Hillen,Southern Garrett,Girls,,,,
40,2022,4A,Final,Ny’Ceara Pryor,Western,Girls,,,,
40,2011,1A,Final,Michelle Wright,Dunbar,Girls,,,,
39,1975,-,Quarterfinal,Janet Flora,Loch Raven,Girls,,,,
39,1977,AA,Semifinal,Alice Butler,DuVal,Girls,,,,
39,1979,AA,Final,Ruth Gross,Northwestern-PG,Girls,,,,
39,1983,B,Final,Dayna Scott,Southern-AA,Girls,,,,
39,1993,1A,Semifinal,Kelley Gibson,Easton,Girls,,,,
37,1978,A,Semifinal,Colleen Cassidy,Seneca Valley,Girls,,,,
35,2011,3A,Semifinal,Bri Jones,Aberdeen,Girls,,,,
35,2015,4A,Semifinal,Dasia Harris,Paint Branch,Girls,,,,
34,2002,2A,Semifinal,Melissa Workman,Hammond,Girls,,,,
34,2004,4A,Final,Alexandra McGuire,Arundel,Girls,,,,
33,1975,-,Consolation,Annette Rolle,Annapolis,Girls,,,,
33,1985,B,Semifinal,Dayna Scott,Southern-AA,Girls,,,,
33,1990,3A,Semifinal,Tanya Hughes,Great Mills,Girls,,,,
33,2012,1A,Final,Michelle Wright,Dunbar,Girls,,,,
33,2015,4A,Semifinal,Kaila Charles,Eleanor Roosevelt,Girls,,,,
32,1975,-,Quarterfinal,Tina Malloy,Mount Savage,Girls,,,,
32,1977,AA,Final,Annette Rolle,Annapolis,Girls,,,,
32,1983,C,Semifinal,Pat Doges,Brooklyn Park,Girls,,,,
32,1984,B,Semifinal,Lagena Johnson,Southern-AA,Girls,,,,
32,1985,C,Semifinal,Jenny Hillen,Southern Garrett,Girls,,,,
32,1987,C,Semifinal,Leslie Copes,Pocomoke,Girls,,,,
32,1992,3A,Semifinal,Pam Anderson,Linganore,Girls,,,,
32,1992,4A,Semifinal,Nicole Mamula,Laurel,Girls,,,,
32,1995,3A,Semifinal,Alisha Mosley,Mount Hebron,Girls,,,,
32,2010,3A,Semifinal,Kelsey Wolfe,Seneca Valley,Girls,,,,
32,2015,1A,Semifinal,Lauren Francillon,Southern-G,Girls,,,,
,,,,,,,,,,
Tournament Records - Individual,,,,,,,,,,
Category,Gender,Number,Name,School,Year,Game,Game 1 Number,Game 1 Opponent,Game 2 Number,Game 2 Opponent
MOST POINTS - semifinal game,Girls,49,Tammy Joy,Catoctin,1986,Semifinal,,,,
MOST POINTS - final game,Girls,48,Janet Flora,Loch Raven,1976,Final,,,,
MOST POINTS - two games,Girls,76,Makayla Daniels,Frederick,2017,Semifinal/Final,29,Oxon Hill,47,Atholton
MOST FIELD GOALS - one game,Girls,22,Janet Flora,Loch Raven,1976,-,,,,
MOST FREE THROWS MADE - one game,Girls,20/26,Ny’Ceara Pryor,Western,2022,Final,,Clarksburg,,
FREE THROW PERCENTAGE - one game,Girls,1.000 (18/18),Alexandra McGuire,Arundel,2004,Final,,Woodlawn,,
MOST 3-POINT FIELD GOALS - one game,Girls,7,Tia Jackson,Mardela,1990,Semifinal,,Westmar,,
MOST 3-POINT FIELD GOALS - two games,Girls,9,Mandakova Clark,Milford Mill,2000,Semifinal/Final,6,Thomas Stone,3,DuVal
,,,,,,,,,,
Tournament Records - Team,,,,,,,,,,
Category,Gender,Number,School (Score),Opponent School (Score),Year,Game,Game 1 Number,Game 1 Opponent,Game 2 Number,Game 2 Opponent
MOST POINTS - one game,Girls,87,Mt. Hebron,Gwynn Park (44),1988,Final,,,,
MOST POINTS - one game,Girls,87,Arundel,Woodlawn (64),2004,Final,,,,
MOST POINTS - two games,Girls,152,Forestville,"Forest Park, Southern-G",2016,Semifinal/Final,81,Forest Park,71,Southern-G
MOST POINTS - both teams,Girls,151,Arundel (87),Woodlawn (64),2004,Final,,,,
MOST POINTS - losing team,Girls,71,Aberdeen,Frederick (76),2011,Final,,,,
MOST POINTS - one quarter,Girls,32,Brooklyn Park,Havre de Grace,1990,Semifinal,,,,
LEAST POINTS - winning team,Girls,32,Sherwood,Kent,1976,Semifinal,,,,
LEAST POINTS - both teams,Girls,55,Williamsport (34),Fallston (21),1992,Final,,,,
,,,,,,,,,,
Facts,,,,,,,,,,
"In 1976, Loch Raven’s Janet Flora posted three individual tournament scoring records, two of which still stand.",,,,,,,,,,
Sandy and Curtis Graff are the first married couple to each have won a state championship. Sandy led Smithsburg to the 1981 Girls Class C title. Curtis coached North Hagerstown to the Girls Class A title in 1985.,,,,,,,,,,
"Stan Kernan of Parkdale is the only coach to win both a boys state title (1971 AA, 1976 AA) and a girls state title (1981 AA).",,,,,,,,,,
"Glenn and Alice Smith are the first father-daughter coaches to each have won a state championship. Glenn led the Williamsport girls to the 1992 Class 1A title. Five years later, his daughter Alice coached the Francis Scott Key girls to the 1997 Class 1A title.",,,,,,,,,,
,,,,,,,,,,
MILDRED HANEY MURRAY SPORTSMANSHIP AWARD,,,,,,,,,,
The Maryland Public Secondary Schools Athletic Association annually presents a sportsmanship trophy at the Girls State Basketball Tournament. The Mildred Haney Murray Sportsmanship Award will remain a permanent possession of the school selected.,,,,,,,,,,
Year,School,Gender,,,,,,,,
1982,Mt. Savage,Girls,,,,,,,,
1983,Dulaney ,Girls,,,,,,,,
1984,Springbrook ,Girls,,,,,,,,
1985,Dulaney ,Girls,,,,,,,,
1986,Catoctin ,Girls,,,,,,,,
1987,Dulaney ,Girls,,,,,,,,
1988,Leonardtown ,Girls,,,,,,,,
1989,Stephen Decatur,Girls,,,,,,,,
1990,Montgomery Blair,Girls,,,,,,,,
1991,Frederick ,Girls,,,,,,,,
1992,Watkins Mill,Girls,,,,,,,,
1993,Lansdowne ,Girls,,,,,,,,
1994,Oxon Hill,Girls,,,,,,,,
1995,Pocomoke ,Girls,,,,,,,,
1996,Sherwood ,Girls,,,,,,,,
1997,Southern ,Girls,,,,,,,,
1998,Milford Mill,Girls,,,,,,,,
1999,Allegany ,Girls,,,,,,,,
2000,Oxon Hill,Girls,,,,,,,,
2001,Southern Garrett,Girls,,,,,,,,
2002,Oxon Hill,Girls,,,,,,,,
2003,Walkersville ,Girls,,,,,,,,
2004,Arundel ,Girls,,,,,,,,
2005,Eleanor Roosevelt,Girls,,,,,,,,
2006,River Hill,Girls,,,,,,,,
2007,Atholton ,Girls,,,,,,,,
2008,Pocomoke ,Girls,,,,,,,,
2009,River Hill,Girls,,,,,,,,
2010,Gwynn Park,Girls,,,,,,,,
2011,Gaithersburg ,Girls,,,,,,,,
2012,Aberdeen ,Girls,,,,,,,,
2013,North Point,Girls,,,,,,,,
2014,Southern-Garrett ,Girls,,,,,,,,
2015,Paint Branch,Girls,,,,,,,,
2016,Frederick ,Girls,,,,,,,,
2017,Atholton ,Girls,,,,,,,,
2018,Bethesda-CC ,Girls,,,,,,,,
2019,Long Reach,Girls,,,,,,,,
2022,Catoctin ,Girls,,,,,,,,
2023,Glen Burnie,Girls,,,,,,,,
2024,Southern-G ,Girls,,,,,,,,
,,,,,,,,,,
34-Plus Point Scorers,,,,,,,,,,
Points,Year,Class,Game,Player,School,Gender,,,,
47,1989,1A,Final,Sherron Mills,Snow Hill,Boys,,,,
45,1968,AA,Semifinal,Gary Browne,Whitman,Boys,,,,
41,1964,AA,Semifinal,Bill Jones,Towson,Boys,,,,
41,1966,B,Semifinal,Tom Moran,Bruce,Boys,,,,
41,1968,AA,Semifinal,Harold Fox,Northwestern,Boys,,,,
41,1976,A,Semifinal,Steve Stielper,Andover,Boys,,,,
40,1961,AA,Final,Hal Blondeau,Glen Burnie,Boys,,,,
40,1968,C,Semifinal,Granville Cannon,Somerset,Boys,,,,
39,1965,B,Final,Gordon Smith,Walkersville,Boys,,,,
38,2008,1A,Semifinal,Jamahl Brown,Surrattsville,Boys,,,,
37,1967,B,Final,Larry Farrare,Mace’s Lane,Boys,,,,
37,1973,C,Final,Tim Fawley,Middletown,Boys,,,,
37,1979,C,Semifinal,Ken Wilson,Middletown,Boys,,,,
37,1995,1A,Final,Blanchard Hurd,Milford Mill,Boys,,,,
36,1965,B,Final,Levi Fontaine,Somerset,Boys,,,,
36,1967,AA,Semifinal,Billy Gordon,R. Montgomery,Boys,,,,
36,1975,C,Final,Darnell Bryant,Washington,Boys,,,,
36,1976,B,Semifinal,Mark Clark,Gwynn Park,Boys,,,,
36,1987,C,Semifinal,John Smith,Valley,Boys,,,,
36,1989,3A,Semifinal,Monte Williams,Potomac,Boys,,,,
36,1989,1A,Semifinal,Richard Milbourne,Snow Hill,Boys,,,,
36,2004,2A,Final,Lloyd Phillips,Friendly,Boys,,,,
36,2008,1A,Final,Jamahl Brown,Surrattsville,Boys,,,,
35,1967,B,Semifinal,Larry Farrare,Mace’s Lane,Boys,,,,
35,1972,C,Final,Wilbert Mills,Pocomoke,Boys,,,,
35,1978,AA,Semifinal,Eric Smith,Churchill,Boys,,,,
35,1984,C,Semifinal,Gary Morris,Brunswick,Boys,,,,
35,1987,B,Final,Barry Young,Mount Hebron,Boys,,,,
35,1990,1A,Semifinal,Jim Evans,Westmar,Boys,,,,
35,2019,1A,Final,Armon Harried,Lake Clifton,Boys,,,,
34,1963,C,Final,Edward Sewell,Poolesville,Boys,,,,
34,1964,AA,Final,Steve Vandenberg,Allegany,Boys,,,,
34,1965,AA,Final,Norman Carmichael,Surrattsville,Boys,,,,
34,1968,C,Final,Shorty Simmons,Gwynn Park,Boys,,,,
34,1977,B,Final,Tracy Jackson,Paint Branch,Boys,,,,
34,1981,A,Semifinal,Tommy Davis,Aberdeen,Boys,,,,
34,1989,3A,Semifinal,Bobby Briggs,South Carroll,Boys,,,,
34,1992,2A,Final,Oronde Clark,Forestville,Boys,,,,
34,2010,1A,Semifinal,Keith Jackson,Snow Hill,Boys,,,,
34,2016,1A,Semifinal,Spencer Schultz,Clear Spring,Boys,,,,
34,2017,2A,Semifinal,Zach Tucker,Century,Boys,,,,
,,,,,,,,,,
Individual Records,,,,,,,,,,
Category,Gender,Record,Name,School,Year,Game,Game 1 Number,Game 1 Opponent,Game 2 Number,Game 2 Opponent
MOST POINTS - final game,Boys,47,Sherron Mills,Snow Hill,1989,Final,,Milford Mill,,
MOST POINTS - semifinal game,Boys,45,Gary Browne,Whitman,1968,Semifinal,,,,
MOST POINTS - two games,Boys,77,Sherron Mills,Snow Hill,1989,Semifinal/Final,30,Boonsboro,47,Milford Mill
MOST FIELD GOALS - one game,Boys,19,Gary Browne,Whitman,1968,-,,,,
MOST FIELD GOALS - one game,Boys,19,Steve Stielper,Andover,1976,-,,,,
MOST FIELD GOALS - one game,Boys,19,Sherron Mills,Snow Hill,1989,Final,,Milford Mill,,
MOST REBOUNDS - one game,Boys,31,Earl Hawkins,Gwynn Park,1970,-,,,,
MOST FREE THROWS MADE - one game,Boys,19/23,Spencer Schultz,Clear Spring,2016,Semifinal,,Pocomoke,,
MOST ASSISTS - one game,Boys,13,Reggie Parker,North Dorchester,1999,Final,,Pikesville,,
LONGEST SHOT MADE in a game,Boys,85 ft.,Bob Pence,Bruce,1975,Semifinal,,,,
FREE THROW PERCENTAGE - two games,Boys,1.000 (14/14),Nardi Bogues,Baltimore City College,2009,Semifinal/Final,6-Jun,Century,8-Aug,Frederick Douglass
MOST 3-POINT GOALS - one game,Boys,7,Mac Sloan,Westmar,1993,Semifinal,,Cambridge-SD,,
MOST 3-POINT GOALS - one game,Boys,7,Cornelius McMurray,Southwestern,1997,Semifinal,,Paint Branch,,
MOST 3-POINT GOALS - one game,Boys,7,Derrell Edwards,Dunbar,2010,Semifinal,,Allegany,,
MOST 3-POINT GOALS - two games,Boys,10,Jamahl Brown,Surrattsville,2008,Semifinal/Final,5,Fort Hill,5,Snow Hill
,,,,,,,,,,
Team Records,,,,,,,,,,
Category,Gender,Number,School (Score),Opponent School (Score),Year,Game,Game 1 Number,Game 1 Opponent,Game 2 Number,Game 2 Opponent
MOST POINTS - one game,Boys,122,Dunbar,Fallston (58),1993,Semifinal,,,,
MOST POINTS - two games,Boys,207,Fairmont Heights,Two Teams,1971,Semifinal/Final,87,,120,Atholton
MOST POINTS - both teams,Boys,208,Annapolis (106),High Point (102),1990,Final,,,,
MOST POINTS - losing team,Boys,102,High Point,Annapolis (106),1990,Final,,,,
MOST POINTS - one quarter,Boys,43,Fairmont Heights,Atholton,1971,Final,,,,
LEAST POINTS - winning team,Boys,28,Hagerstown,? (27),1951,Final,,,,
LEAST POINTS - both teams,Boys,54,Southern-AA,Fort Hill,1973,Final,,,,
MOST OVERTIME PERIODS,Boys,5,Gaithersburg (96),Oxon Hill (91),1998,Final,,,,
,,,,,,,,,,
Jack Willard Sportsmanship Award,,,,,,,,,,
The Maryland Public Secondary Schools Athletic Association annually presents a sportsmanship trophy at the Boys’ State Basketball Tournament. The Jack Willard Sportsmanship Award will remain a permanent possession of the school selected.,,,,,,,,,,
Year,School,Gender,,,,,,,,
1981,Potomac,Boys,,,,,,,,
1982,Walkersville,Boys,,,,,,,,
1983,Flintstone,Boys,,,,,,,,
1984,Walkersville,Boys,,,,,,,,
1985,North Carroll,Boys,,,,,,,,
1986,Walkersville,Boys,,,,,,,,
1987,North Caroline,Boys,,,,,,,,
1988,Crossland,Boys,,,,,,,,
1989,High Point,Boys,,,,,,,,
1990,Hammond,Boys,,,,,,,,
1991,Parkdale,Boys,,,,,,,,
1992,Walkersville,Boys,,,,,,,,
1993,Allegany,Boys,,,,,,,,
1994,Springbrook,Boys,,,,,,,,
1995,South Hagerstown,Boys,,,,,,,,
1996,Williamsport,Boys,,,,,,,,
1997,Parkdale,Boys,,,,,,,,
1998,Brunswick,Boys,,,,,,,,
1999,Central,Boys,,,,,,,,
2000,Oxon Hill,Boys,,,,,,,,
2001,Snow Hill,Boys,,,,,,,,
2002,Central,Boys,,,,,,,,
2003,Col. Zadok Magruder,Boys,,,,,,,,
2004,Elkton,Boys,,,,,,,,
2005,Blake,Boys,,,,,,,,
2006,Eleanor Roosevelt,Boys,,,,,,,,
2007,Fort Hill,Boys,,,,,,,,
2008,Gwynn Park,Boys,,,,,,,,
2009,Frederick Douglass-PG,Boys,,,,,,,,
2010,North Carroll,Boys,,,,,,,,
2011,Easton,Boys,,,,,,,,
2012,Largo,Boys,,,,,,,,
2013,Edmondson/Westside,Boys,,,,,,,,
2014,"Dr. Henry A. Wise, Jr.",Boys,,,,,,,,
2015,Meade,Boys,,,,,,,,
2016,Clear Spring,Boys,,,,,,,,
2017,Harford Technical,Boys,,,,,,,,
2018,Clear Spring,Boys,,,,,,,,
2019,Thomas Stone,Boys,,,,,,,,
2022,Westlake,Boys,,,,,,,,
2023,Lake Clifton,Boys,,,,,,,,
2024,Walt Whitman,Boys,,,,,,,,
