Year,Class,Season,Gender,Sport,Status,Team,Coach,Team Score,Opponent,Opponent Score
1994,4A-3A,Winter,Male,Dual Meet Wrestling,Champion,Frederick,Yank Strube,30,Old Mill,27
1994,4A-3A,Winter,Male,Dual Meet Wrestling,Finalist,Old Mill,Mike Hampe,27,Frederick,30
1994,4A-3A,Winter,Male,Dual Meet Wrestling,Semifinalist,Westminster,-,-,-,-
1994,4A-3A,Winter,Male,Dual Meet Wrestling,Semifinalist,Owings Mills,-,-,-,-
1994,2A-1A,Winter,Male,Dual Meet Wrestling,Champion,North Carroll,Dick Bauerlein,34,Damascus,19
1994,2A-1A,Winter,Male,Dual Meet Wrestling,Finalist,Damascus,Dave Hopkins,19,North Carroll,34
1994,2A-1A,Winter,Male,Dual Meet Wrestling,Semifinalist,Perry Hall,-,-,-,-
1994,2A-1A,Winter,Male,Dual Meet Wrestling,Semifinalist,Rising Sun,-,-,-,-
1995,4A-3A,Winter,Male,Dual Meet Wrestling,Champion,Northern-Calvert,Blaine Adams,46,Quince Orchard,21
1995,4A-3A,Winter,Male,Dual Meet Wrestling,Finalist,Quince Orchard,Jeff Marker,21,Northern-Calvert,46
1995,4A-3A,Winter,Male,Dual Meet Wrestling,Semifinalist,Broadneck,-,-,-,-
1995,4A-3A,Winter,Male,Dual Meet Wrestling,Semifinalist,Damascus,-,-,-,-
1995,2A-1A,Winter,Male,Dual Meet Wrestling,Champion,Damascus,Dave Hopkins,34,Northeast-AA,20
1995,2A-1A,Winter,Male,Dual Meet Wrestling,Finalist,Northeast-AA,Al Kohlhafer,20,Damascus,34
1995,2A-1A,Winter,Male,Dual Meet Wrestling,Semifinalist,South Carroll,-,-,-,-
1995,2A-1A,Winter,Male,Dual Meet Wrestling,Semifinalist,Francis Scott Key,-,-,-,-
1996,4A-3A,Winter,Male,Dual Meet Wrestling,Champion,Frederick,Andre Jackson,32,Northern-Calvert,28
1996,4A-3A,Winter,Male,Dual Meet Wrestling,Finalist,Northern-Calvert,Blaine Adams,28,Frederick,32
1996,4A-3A,Winter,Male,Dual Meet Wrestling,Semifinalist,Westminster,-,-,-,-
1996,4A-3A,Winter,Male,Dual Meet Wrestling,Semifinalist,Owings Mills,-,-,-,-
1996,2A-1A,Winter,Male,Dual Meet Wrestling,Champion,Hammond,Jeff Starnes,35,Francis Scott Key,26
